77.69 28.73
37.21 -82.16 30.61
37.31 -82.06 30.62
37.44 -82.09 30.62
37.57 -82.13 30.63
37.58 -82.05 30.64
37.64 -81.98 30.65
37.78 -82.07 30.66
37.90 -82.14 30.67
38.01 -82.23 30.68
38.21 -82.18 30.69
38.36 -82.14 30.69
38.35 -82.30 30.70
38.30 -82.42 30.71
38.51 -82.34 30.72
38.63 -82.33 30.72
38.84 -82.24 30.73
39.07 -82.14 30.75
38.87 -82.45 30.75
38.95 -82.46 30.76
38.98 -82.49 30.77
39.11 -82.56 30.79
39.33 -82.51 30.79
39.28 -82.52 30.80
39.37 -82.54 30.81
39.51 -82.60 30.82
39.49 -82.49 30.83
39.64 -82.53 30.84
39.76 -82.55 30.85
39.90 -82.45 30.85
40.14 -82.37 30.86
40.13 -82.60 30.87
40.30 -82.64 30.88
40.34 -82.59 30.89
40.52 -82.62 30.90
40.72 -82.63 30.91
40.73 -82.64 30.91
40.83 -82.62 30.91
40.98 -82.69 30.92
41.11 -82.72 30.93
41.30 -82.82 30.94
41.43 -82.72 30.95
41.57 -82.76 30.95
41.68 -82.80 30.95
41.70 -82.85 30.96
41.90 -82.76 30.97
41.92 -82.96 30.97
42.02 -82.96 30.97
41.91 -82.87 30.98
42.00 -82.93 30.99
42.06 -82.99 30.99
42.20 -83.12 31.00
42.23 -83.14 31.01
42.23 -83.08 31.01
42.33 -83.18 31.03
42.31 -83.16 31.04
42.50 -83.07 31.05
42.59 -83.17 31.06
42.64 -83.05 31.06
42.58 -83.14 31.06
42.63 -83.12 31.07
42.71 -83.08 31.07
42.69 -83.30 31.08
42.81 -83.29 31.08
42.78 -83.23 31.08
42.54 -83.24 31.09
42.76 -83.18 31.09
42.59 -83.36 31.10
42.55 -83.36 31.11
42.66 -83.33 31.12
42.63 -83.28 31.12
42.54 -83.25 31.12
42.47 -83.26 31.13
42.40 -83.28 31.13
42.24 -83.29 31.14
42.20 -83.38 31.15
42.07 -83.45 31.16
41.94 -83.43 31.16
41.71 -83.45 31.17
41.58 -83.56 31.18
41.47 -83.53 31.18
41.36 -83.47 31.19
41.02 -83.64 31.19
40.78 -83.73 31.20
40.41 -83.88 31.21
40.43 -83.76 31.21
40.39 -83.65 31.22
40.28 -83.56 31.23
39.89 -83.43 31.24
39.78 -83.73 31.25
39.69 -83.44 31.27
39.54 -83.17 31.28
39.21 -83.45 31.29
39.06 -83.77 31.31
39.08 -83.60 31.33
38.85 -83.87 31.33
38.74 -83.99 31.34
38.62 -84.05 31.35
38.64 -83.65 31.35
38.60 -83.76 31.36
38.32 -83.93 31.37
38.35 -84.12 31.38
38.35 -84.11 31.38
38.28 -84.18 31.39
38.36 -84.09 31.40
38.39 -84.11 31.41
38.42 -84.13 31.42
38.53 -83.95 31.43
38.54 -84.06 31.44
38.47 -84.17 31.45
38.59 -84.19 31.45
38.59 -84.12 31.46
38.63 -84.27 31.47
38.69 -84.21 31.48
38.62 -84.13 31.49
38.56 -84.09 31.50
38.75 -84.16 31.51
38.82 -84.34 31.52
38.96 -84.30 31.53
39.18 -84.11 31.53
39.07 -84.31 31.54
39.05 -84.39 31.55
39.13 -84.44 31.56
39.20 -84.39 31.57
39.26 -84.45 31.58
39.30 -84.48 31.59
39.37 -84.41 31.60
39.26 -84.55 31.60
39.23 -84.57 31.61
39.30 -84.40 31.62
39.15 -84.54 31.63
39.21 -84.46 31.63
39.03 -84.61 31.64
39.00 -84.67 31.65
39.12 -84.61 31.66
39.20 -84.62 31.67
39.13 -84.72 31.68
39.34 -84.68 31.69
39.23 -84.78 31.70
39.41 -84.78 31.71
39.49 -84.77 31.71
39.41 -84.80 31.72
39.57 -84.81 31.72
39.62 -84.82 31.73
39.63 -84.85 31.74
39.69 -84.85 31.74
39.77 -84.87 31.75
39.86 -84.91 31.76
39.88 -84.76 31.77
40.06 -84.74 31.78
40.05 -84.83 31.79
40.23 -84.75 31.79
40.30 -84.91 31.81
40.44 -84.99 31.82
40.72 -85.06 31.83
40.87 -84.98 31.84
40.98 -85.04 31.85
41.11 -85.10 31.85
41.16 -85.10 31.86
41.20 -85.15 31.87
41.28 -85.18 31.88
41.40 -85.13 31.89
41.58 -85.11 31.89
41.61 -85.14 31.90
41.81 -85.28 31.91
42.00 -85.24 31.92
42.01 -85.33 31.93
42.14 -85.34 31.93
42.20 -85.27 31.94
42.18 -85.20 31.95
42.44 -85.38 31.95
42.48 -85.24 31.96
42.61 -85.34 31.97
42.68 -85.26 31.97
42.72 -85.21 31.98
42.78 -85.29 31.98
42.90 -85.27 31.99
43.04 -85.33 32.00
43.16 -85.36 32.01
43.32 -85.40 32.02
43.45 -85.44 32.04
43.64 -85.40 32.05
43.83 -85.34 32.06
43.88 -85.55 32.06
43.75 -85.54 32.06
43.83 -85.60 32.08
43.84 -85.61 32.08
44.01 -85.70 32.09
44.15 -85.75 32.10
44.07 -85.64 32.10
44.17 -85.74 32.11
44.13 -85.72 32.11
44.24 -85.80 32.12
44.16 -85.80 32.13
44.14 -85.69 32.13
44.26 -85.73 32.14
44.47 -85.74 32.14
44.31 -85.76 32.14
44.35 -85.84 32.15
44.28 -85.86 32.15
44.42 -85.83 32.16
44.56 -85.72 32.16
44.39 -85.81 32.16
